"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0,000000000E0	-1,417358398E0	1,982116699E0	8,715484619E0	9,049716216E0
3,936767000E-3	-1,532287598E0	1,982116699E0	8,830413818E0	9,178937852E0
7,873535000E-3	-1,608901978E0	1,982116699E0	8,945327759E0	9,302485737E0
1,181030200E-2	-1,723815918E0	1,867187500E0	8,983642578E0	9,336153622E0
1,577758700E-2	-1,762130737E0	1,867187500E0	9,136871338E0	9,490727672E0
1,971435500E-2	-1,762130737E0	1,790573120E0	9,213485718E0	9,549846905E0
2,365112300E-2	-1,685516357E0	1,752273560E0	9,251785278E0	9,565926973E0
2,758789000E-2	-1,570587158E0	1,752273560E0	9,290100098E0	9,583484047E0
3,152465800E-2	-1,532287598E0	1,752273560E0	9,366714478E0	9,651616860E0
3,546142500E-2	-1,493972778E0	1,752273560E0	9,443328857E0	9,720024547E0
3,942871000E-2	-1,340744019E0	1,752273560E0	9,481628418E0	9,734954268E0
4,336547800E-2	-1,340744019E0	1,790573120E0	9,519943237E0	9,779216015E0
4,730224600E-2	-1,264129639E0	1,790573120E0	9,519943237E0	9,769006863E0
5,123901300E-2	-1,225830078E0	1,752273560E0	9,596557617E0	9,831939794E0
5,517578100E-2	-1,149215698E0	1,790573120E0	9,596557617E0	9,829586305E0
5,911254800E-2	-1,072601318E0	1,752273560E0	9,596557617E0	9,814013161E0
6,307983400E-2	-1,034286499E0	1,713958740E0	9,596557617E0	9,803128135E0
6,701660100E-2	-9,193725586E-1	1,675659180E0	9,519943237E0	9,709912401E0
7,095336900E-2	-9,193725586E-1	1,637344360E0	9,519943237E0	9,703373728E0
7,489013600E-2	-8,810577393E-1	1,637344360E0	9,481628418E0	9,662216969E0
7,882690400E-2	-8,810577393E-1	1,599044800E0	9,481628418E0	9,655800561E0
8,279418900E-2	-8,427581787E-1	1,599044800E0	9,481628418E0	9,652381213E0
8,673095700E-2	-8,044433594E-1	1,560729980E0	9,481628418E0	9,642835923E0
9,066772400E-2	-7,661437988E-1	1,560729980E0	9,519943237E0	9,677405315E0
9,460449200E-2	-7,661437988E-1	1,560729980E0	9,481628418E0	9,639716378E0
9,854125900E-2	-7,278289795E-1	1,522430420E0	9,519943237E0	9,668342601E0
1,024780270E-1	-7,278289795E-1	1,522430420E0	9,596557617E0	9,743790202E0
1,064453120E-1	-7,278289795E-1	1,484115601E0	9,596557617E0	9,737877194E0
1,103820800E-1	-7,278289795E-1	1,445816040E0	9,634857178E0	9,769881876E0
1,143188470E-1	-7,278289795E-1	1,407501221E0	9,711471558E0	9,839891998E0
1,182556150E-1	-7,278289795E-1	1,445816040E0	9,749786377E0	9,883241039E0
1,221923820E-1	-7,661437988E-1	1,445816040E0	9,749786377E0	9,886136492E0
1,261291500E-1	-7,661437988E-1	1,445816040E0	9,788085938E0	9,923909848E0
1,300659180E-1	-7,661437988E-1	1,484115601E0	9,788085938E0	9,929562012E0
1,340332030E-1	-8,427581787E-1	1,522430420E0	9,749786377E0	9,903856326E0
1,379699700E-1	-8,810577393E-1	1,560729980E0	9,711471558E0	9,875465590E0
1,419067380E-1	-9,193725586E-1	1,560729980E0	9,711471558E0	9,878957627E0
1,458435050E-1	-9,576721191E-1	1,637344360E0	9,711471558E0	9,894984197E0
1,497802730E-1	-9,193725586E-1	1,599044800E0	9,711471558E0	9,885083206E0
1,537170410E-1	-9,193725586E-1	1,675659180E0	9,749786377E0	9,935361794E0
1,576843260E-1	-9,576721191E-1	1,713958740E0	9,711471558E0	9,907949852E0
1,616210930E-1	-9,193725586E-1	1,713958740E0	9,749786377E0	9,941892921E0
1,655578610E-1	-9,576721191E-1	1,713958740E0	9,711471558E0	9,907949852E0
1,694946280E-1	-9,959869385E-1	1,752273560E0	9,749786377E0	9,955942296E0
1,734313960E-1	-1,034286499E0	1,790573120E0	9,749786377E0	9,966656162E0
1,773986810E-1	-1,034286499E0	1,713958740E0	9,749786377E0	9,953177258E0
1,813354490E-1	-1,072601318E0	1,713958740E0	9,673171997E0	9,882225692E0
1,852722160E-1	-1,072601318E0	1,713958740E0	9,673171997E0	9,882225692E0
1,892089840E-1	-1,072601318E0	1,713958740E0	9,673171997E0	9,882225692E0
1,931457520E-1	-1,034286499E0	1,675659180E0	9,596557617E0	9,796504496E0
1,970825190E-1	-1,072601318E0	1,713958740E0	9,596557617E0	9,807244580E0
2,010498040E-1	-1,034286499E0	1,752273560E0	9,558242798E0	9,772421224E0
2,049865720E-1	-1,072601318E0	1,752273560E0	9,558242798E0	9,776550598E0
2,089233390E-1	-1,072601318E0	1,752273560E0	9,519943237E0	9,739109582E0
2,128601070E-1	-1,034286499E0	1,790573120E0	9,519943237E0	9,741931015E0
2,167968750E-1	-1,072601318E0	1,828887939E0	9,519943237E0	9,753185322E0
2,207336420E-1	-1,072601318E0	1,790573120E0	9,558242798E0	9,783487674E0
2,247009270E-1	-1,110900879E0	1,790573120E0	9,481628418E0	9,712956827E0
2,286376950E-1	-1,072601318E0	1,828887939E0	9,519943237E0	9,753185322E0
2,325744620E-1	-1,034286499E0	1,867187500E0	9,519943237E0	9,756303448E0
2,365112300E-1	-1,034286499E0	1,867187500E0	9,443328857E0	9,681559669E0
2,404479980E-1	-9,959869385E-1	1,867187500E0	9,443328857E0	9,677543028E0
2,443847650E-1	-9,193725586E-1	1,905502319E0	9,443328857E0	9,677429664E0
2,483520500E-1	-8,810577393E-1	1,867187500E0	9,366714478E0	9,591558372E0
2,522888180E-1	-8,427581787E-1	1,867187500E0	9,366714478E0	9,588116114E0
2,562255850E-1	-8,810577393E-1	1,943801880E0	9,405014038E0	9,644113103E0
2,601623530E-1	-8,810577393E-1	1,905502319E0	9,405014038E0	9,636466722E0
2,640991210E-1	-8,810577393E-1	1,867187500E0	9,481628418E0	9,703810043E0
2,680664060E-1	-8,810577393E-1	1,867187500E0	9,519943237E0	9,741251005E0
2,720031730E-1	-8,427581787E-1	1,905502319E0	9,558242798E0	9,782698289E0
2,759399410E-1	-8,810577393E-1	1,828887939E0	9,634857178E0	9,846398665E0
2,798767090E-1	-8,810577393E-1	1,828887939E0	9,634857178E0	9,846398665E0
2,838134760E-1	-8,810577393E-1	1,790573120E0	9,634857178E0	9,839354027E0
2,877502440E-1	-8,810577393E-1	1,790573120E0	9,711471558E0	9,914388264E0
2,917175290E-1	-8,427581787E-1	1,713958740E0	9,673171997E0	9,859926592E0
2,956542960E-1	-8,044433594E-1	1,675659180E0	9,634857178E0	9,812514236E0
2,995910640E-1	-8,044433594E-1	1,675659180E0	9,673171997E0	9,850138034E0
3,035278320E-1	-7,661437988E-1	1,637344360E0	9,749786377E0	9,915957204E0
3,074645990E-1	-7,661437988E-1	1,599044800E0	9,711471558E0	9,872010961E0
3,114318840E-1	-7,661437988E-1	1,599044800E0	9,711471558E0	9,872010961E0
3,153686520E-1	-7,661437988E-1	1,599044800E0	9,749786377E0	9,909705091E0
3,193054190E-1	-8,044433594E-1	1,637344360E0	9,749786377E0	9,918989871E0
3,232421870E-1	-7,661437988E-1	1,675659180E0	9,749786377E0	9,922355789E0
3,271789550E-1	-7,661437988E-1	1,637344360E0	9,749786377E0	9,915957204E0
3,311157220E-1	-7,278289795E-1	1,675659180E0	9,673171997E0	9,844177223E0
3,350830070E-1	-7,661437988E-1	1,637344360E0	9,634857178E0	9,802976370E0
3,390197750E-1	-7,278289795E-1	1,675659180E0	9,558242798E0	9,731267856E0
3,429565430E-1	-7,661437988E-1	1,713958740E0	9,519943237E0	9,703295838E0
3,468933100E-1	-7,278289795E-1	1,675659180E0	9,405014038E0	9,580806739E0
3,508300780E-1	-7,278289795E-1	1,752273560E0	9,405014038E0	9,594502942E0
3,547973630E-1	-7,661437988E-1	1,713958740E0	9,251785278E0	9,440347542E0
3,587341300E-1	-7,278289795E-1	1,713958740E0	9,251785278E0	9,437315319E0
3,626708980E-1	-7,278289795E-1	1,713958740E0	9,175170898E0	9,362219320E0
3,666076660E-1	-7,278289795E-1	1,752273560E0	9,098556519E0	9,294295475E0
3,705444330E-1	-7,278289795E-1	1,790573120E0	9,175170898E0	9,376547773E0
3,744812010E-1	-7,278289795E-1	1,790573120E0	9,060256958E0	9,264132084E0
3,784484860E-1	-7,278289795E-1	1,790573120E0	9,136871338E0	9,339074096E0
3,823852530E-1	-7,278289795E-1	1,790573120E0	9,098556519E0	9,301592221E0
3,863220210E-1	-7,278289795E-1	1,752273560E0	9,060256958E0	9,256805810E0
3,902587890E-1	-7,278289795E-1	1,713958740E0	9,098556519E0	9,287148126E0
3,941955560E-1	-8,044433594E-1	1,752273560E0	9,060256958E0	9,263144601E0
3,981323240E-1	-8,427581787E-1	1,713958740E0	9,098556519E0	9,296861117E0
4,020996090E-1	-9,193725586E-1	1,675659180E0	9,060256958E0	9,259661750E0
4,060363770E-1	-9,959869385E-1	1,675659180E0	9,098556519E0	9,305028446E0
4,099731440E-1	-1,072601318E0	1,675659180E0	9,098556519E0	9,313540573E0
4,139099120E-1	-1,264129639E0	1,675659180E0	9,136871338E0	9,374874680E0
4,178466790E-1	-1,340744019E0	1,752273560E0	9,175170898E0	9,436727090E0
4,217834470E-1	-1,493972778E0	1,790573120E0	9,098556519E0	9,392648055E0
4,257507320E-1	-1,608901978E0	1,867187500E0	9,136871338E0	9,463475713E0
4,296875000E-1	-1,685516357E0	2,020416260E0	9,060256958E0	9,434580192E0
4,336242670E-1	-1,723815918E0	2,097030640E0	9,060256958E0	9,458188778E0
4,375610350E-1	-1,762130737E0	2,173645020E0	9,021942139E0	9,445913262E0
4,414978020E-1	-1,762130737E0	2,250259399E0	8,983642578E0	9,427332925E0
4,454650870E-1	-1,762130737E0	2,288574219E0	8,907028198E0	9,363643950E0
4,494018550E-1	-1,762130737E0	2,365188599E0	8,907028198E0	9,382663437E0
4,533386230E-1	-1,723815918E0	2,403488159E0	8,945327759E0	9,421633901E0
4,572753900E-1	-1,762130737E0	2,441802979E0	8,983642578E0	9,474879445E0
4,612121580E-1	-1,723815918E0	2,441802979E0	8,945327759E0	9,431480892E0
4,651489250E-1	-1,762130737E0	2,441802979E0	8,945327759E0	9,438558960E0
4,691162100E-1	-1,685516357E0	2,365188599E0	9,021942139E0	9,477896520E0
4,730529780E-1	-1,723815918E0	2,326873779E0	9,098556519E0	9,548278045E0
4,769897460E-1	-1,647201538E0	2,288574219E0	9,136871338E0	9,562074184E0
4,809265130E-1	-1,647201538E0	2,288574219E0	9,251785278E0	9,671937536E0
4,848632810E-1	-1,570587158E0	2,250259399E0	9,405014038E0	9,797178188E0
4,888000480E-1	-1,493972778E0	2,173645020E0	9,443328857E0	9,804751259E0
4,927673340E-1	-1,455673218E0	2,097030640E0	9,519943237E0	9,856258989E0
4,967041010E-1	-1,340744019E0	2,020416260E0	9,596557617E0	9,898161167E0
5,006408690E-1	-1,187515259E0	1,905502319E0	9,788085938E0	1,004229844E1
5,045776360E-1	-1,034286499E0	1,867187500E0	9,864700317E0	1,009299015E1
5,085144040E-1	-8,810577393E-1	1,790573120E0	9,941314697E0	1,013963277E1
5,124511710E-1	-8,427581787E-1	1,713958740E0	1,005624390E1	1,023601178E1
5,164184570E-1	-8,810577393E-1	1,599044800E0	1,017115784E1	1,033371466E1
5,203552240E-1	-8,427581787E-1	1,599044800E0	1,028608704E1	1,044369533E1
5,242919920E-1	-9,193725586E-1	1,560729980E0	1,040100098E1	1,055755394E1
5,282287590E-1	-9,193725586E-1	1,560729980E0	1,055422974E1	1,070854282E1
5,321655270E-1	-1,034286499E0	1,522430420E0	1,066915894E1	1,082674907E1
5,361022940E-1	-9,959869385E-1	1,522430420E0	1,086068726E1	1,101200763E1
5,400695800E-1	-1,110900879E0	1,560729980E0	1,089900208E1	1,106608445E1
5,440063470E-1	-1,187515259E0	1,522430420E0	1,101391602E1	1,118187519E1
5,479431150E-1	-1,225830078E0	1,484115601E0	1,105223083E1	1,121860352E1
5,518798820E-1	-1,264129639E0	1,484115601E0	1,101391602E1	1,118512266E1
5,558166500E-1	-1,340744019E0	1,445816040E0	1,101391602E1	1,118902697E1
5,597839350E-1	-1,302444458E0	1,407501221E0	1,093730164E1	1,110414285E1
5,637207030E-1	-1,302444458E0	1,369201660E0	1,082238770E1	1,098613445E1
5,676574700E-1	-1,302444458E0	1,330886841E0	1,070745850E1	1,086817780E1
5,715942380E-1	-1,340744019E0	1,330886841E0	1,055422974E1	1,072196902E1
5,755310050E-1	-1,340744019E0	1,292587280E0	1,043931580E1	1,060413555E1
5,794677730E-1	-1,302444458E0	1,254272461E0	1,024777222E1	1,040607497E1
5,834350580E-1	-1,225830078E0	1,292587280E0	1,005624390E1	1,021280973E1
5,873718260E-1	-1,225830078E0	1,254272461E0	9,826400757E0	9,981683757E0
5,913085930E-1	-1,149215698E0	1,177658081E0	9,673171997E0	9,812126771E0
5,952453610E-1	-1,149215698E0	1,177658081E0	9,443328857E0	9,585616057E0
5,991821280E-1	-1,072601318E0	1,177658081E0	9,251785278E0	9,387911535E0
6,031494140E-1	-1,110900879E0	1,177658081E0	9,098556519E0	9,241466877E0
6,070861810E-1	-1,072601318E0	1,215972900E0	9,021942139E0	9,166488075E0
6,110229490E-1	-1,072601318E0	1,177658081E0	8,868713379E0	9,010628676E0
6,149597160E-1	-1,110900879E0	1,215972900E0	8,753799438E0	8,907395549E0
6,188964840E-1	-1,072601318E0	1,292587280E0	8,753799438E0	8,913487537E0
6,228332520E-1	-1,187515259E0	1,330886841E0	8,830413818E0	9,008754657E0
6,268005370E-1	-1,264129639E0	1,369201660E0	8,792098999E0	8,987421306E0
6,307373040E-1	-1,340744019E0	1,369201660E0	8,945327759E0	9,148289262E0
6,346740720E-1	-1,493972778E0	1,369201660E0	8,907028198E0	9,134649373E0
6,386108390E-1	-1,570587158E0	1,407501221E0	9,060256958E0	9,302476007E0
6,425476070E-1	-1,685516357E0	1,484115601E0	9,136871338E0	9,408824706E0
6,465148920E-1	-1,723815918E0	1,522430420E0	9,251785278E0	9,533355471E0
6,504516600E-1	-1,838745117E0	1,484115601E0	9,251785278E0	9,548775500E0
6,543884270E-1	-1,877044678E0	1,560729980E0	9,328399658E0	9,642521194E0
6,583251950E-1	-1,915359497E0	1,560729980E0	9,443328857E0	9,761195623E0
6,622619620E-1	-1,953659058E0	1,522430420E0	9,481628418E0	9,799788546E0
6,661987300E-1	-1,991973877E0	1,560729980E0	9,596557617E0	9,924603574E0
6,701660150E-1	-1,991973877E0	1,560729980E0	9,673171997E0	9,998704640E0
6,741027830E-1	-1,953659058E0	1,560729980E0	9,788085938E0	1,010243971E1
6,780395500E-1	-1,953659058E0	1,522430420E0	9,749786377E0	1,005946880E1
6,819763180E-1	-1,915359497E0	1,484115601E0	9,826400757E0	1,012073876E1
6,859130850E-1	-1,800430298E0	1,407501221E0	9,903015137E0	1,016328282E1
6,898498530E-1	-1,800430298E0	1,369201660E0	9,979629517E0	1,023275465E1
6,938171380E-1	-1,800430298E0	1,292587280E0	1,001792908E1	1,026017710E1
6,977539060E-1	-1,762130737E0	1,215972900E0	9,979629517E0	1,020669879E1
7,016906730E-1	-1,762130737E0	1,139358521E0	1,001792908E1	1,023533808E1
7,056274410E-1	-1,685516357E0	1,024429321E0	9,979629517E0	1,017268038E1
7,095642090E-1	-1,608901978E0	9,861297607E-1	9,979629517E0	1,015647689E1
7,135009760E-1	-1,570587158E0	9,861297607E-1	9,979629517E0	1,015047788E1
7,174682610E-1	-1,532287598E0	9,478149414E-1	9,979629517E0	1,014096957E1
7,214050290E-1	-1,493972778E0	9,861297607E-1	9,903015137E0	1,006350413E1
7,253417960E-1	-1,417358398E0	9,478149414E-1	9,864700317E0	1,001097250E1
7,292785640E-1	-1,417358398E0	9,095153809E-1	9,788085938E0	9,931905627E0
7,332153320E-1	-1,379058838E0	9,095153809E-1	9,749786377E0	9,888748955E0
7,371826170E-1	-1,379058838E0	9,478149414E-1	9,749786377E0	9,892345063E0
7,411193840E-1	-1,417358398E0	9,095153809E-1	9,749786377E0	9,894162797E0
7,450561520E-1	-1,493972778E0	9,478149414E-1	9,788085938E0	9,946704688E0
7,489929190E-1	-1,647201538E0	9,478149414E-1	9,826400757E0	1,000848530E1
7,529296870E-1	-1,723815918E0	8,712005615E-1	9,903015137E0	1,008961052E1
7,568664550E-1	-1,800430298E0	9,095153809E-1	9,903015137E0	1,010635821E1
7,608337400E-1	-1,915359497E0	8,329010010E-1	9,979629517E0	1,019584873E1
7,647705070E-1	-1,991973877E0	8,329010010E-1	1,001792908E1	1,024795526E1
7,687072750E-1	-2,030273438E0	7,562866211E-1	1,001792908E1	1,024953085E1
7,726440430E-1	-2,106887817E0	7,945861816E-1	1,005624390E1	1,030526005E1
7,765808100E-1	-2,260116577E0	7,562866211E-1	1,001792908E1	1,029752394E1
7,805480950E-1	-2,336730957E0	7,945861816E-1	9,979629517E0	1,028030564E1
7,844848630E-1	-2,413345337E0	8,329010010E-1	9,979629517E0	1,030101767E1
7,884216300E-1	-2,489959717E0	8,712005615E-1	1,009454346E1	1,043353715E1
7,923583980E-1	-2,528274536E0	9,095153809E-1	1,009454346E1	1,044601350E1
7,962951660E-1	-2,604888916E0	9,095153809E-1	1,017115784E1	1,053874358E1
8,002319330E-1	-2,719802856E0	9,095153809E-1	1,028608704E1	1,067839559E1
8,041992180E-1	-2,758117676E0	9,861297607E-1	1,036270142E1	1,076871606E1
8,081359860E-1	-2,834732056E0	9,861297607E-1	1,036270142E1	1,078859297E1
8,120727530E-1	-2,911346436E0	9,095153809E-1	1,043931580E1	1,087577448E1
8,160095210E-1	-2,949645996E0	8,329010010E-1	1,047761536E1	1,091671009E1
8,199462890E-1	-3,026260376E0	8,329010010E-1	1,051593018E1	1,097436847E1
8,239135740E-1	-3,026260376E0	7,945861816E-1	1,043931580E1	1,089811605E1
8,278503410E-1	-2,987960815E0	7,562866211E-1	1,043931580E1	1,088481482E1
8,317871090E-1	-2,987960815E0	7,562866211E-1	1,032438660E1	1,077463864E1
8,357238770E-1	-2,911346436E0	6,796722412E-1	1,032438660E1	1,074852785E1
8,396606440E-1	-2,873031616E0	6,796722412E-1	1,032438660E1	1,073821324E1
8,435974120E-1	-2,834732056E0	6,030578613E-1	1,036270142E1	1,076034225E1
8,475646970E-1	-2,873031616E0	4,881286621E-1	1,051593018E1	1,091225768E1
8,515014640E-1	-2,834732056E0	3,732147217E-1	1,063084412E1	1,100862579E1
8,554382320E-1	-2,834732056E0	3,732147217E-1	1,063084412E1	1,100862579E1
8,593750000E-1	-2,719802856E0	3,348999023E-1	1,070745850E1	1,105256319E1
8,633117670E-1	-2,604888916E0	3,732147217E-1	1,078407288E1	1,110049383E1
8,672485350E-1	-2,489959717E0	2,966003418E-1	1,078407288E1	1,107177036E1
8,712158200E-1	-2,451660156E0	3,348999023E-1	1,082238770E1	1,110166073E1
8,751525870E-1	-2,375045776E0	2,966003418E-1	1,070745850E1	1,097171279E1
8,790893550E-1	-2,260116577E0	3,348999023E-1	1,063084412E1	1,087359791E1
8,830261230E-1	-2,183502197E0	3,348999023E-1	1,059254456E1	1,082043622E1
8,869628900E-1	-2,030273438E0	3,348999023E-1	1,047761536E1	1,067776155E1
8,908996580E-1	-2,030273438E0	4,115142822E-1	1,043931580E1	1,064286937E1
8,948669430E-1	-1,991973877E0	3,732147217E-1	1,040100098E1	1,059660655E1
8,988037100E-1	-1,953659058E0	4,115142822E-1	1,032438660E1	1,051565910E1
9,027404780E-1	-1,953659058E0	4,115142822E-1	1,028608704E1	1,047805871E1
9,066772460E-1	-1,991973877E0	4,498291016E-1	1,024777222E1	1,044926512E1
9,106140130E-1	-2,068588257E0	4,881286621E-1	1,017115784E1	1,039085072E1
9,145812980E-1	-2,106887817E0	5,647430420E-1	1,020947266E1	1,043988711E1
9,185180660E-1	-2,145202637E0	5,647430420E-1	1,009454346E1	1,033540694E1
9,224548340E-1	-2,183502197E0	6,796722412E-1	1,009454346E1	1,035033544E1
9,263916010E-1	-2,106887817E0	7,179718018E-1	1,005624390E1	1,029963597E1
9,303283690E-1	-2,106887817E0	7,562866211E-1	9,979629517E0	1,022760730E1
9,342651360E-1	-2,068588257E0	9,095153809E-1	9,941314697E0	1,019490135E1
9,382324210E-1	-2,030273438E0	9,095153809E-1	9,941314697E0	1,018719620E1
9,421691890E-1	-2,068588257E0	9,095153809E-1	9,903015137E0	1,015755799E1
9,461059570E-1	-2,068588257E0	9,478149414E-1	9,903015137E0	1,016105897E1
9,500427240E-1	-2,106887817E0	9,861297607E-1	9,864700317E0	1,013527210E1
9,539794920E-1	-2,183502197E0	9,478149414E-1	9,941314697E0	1,022231739E1
9,579162590E-1	-2,260116577E0	9,478149414E-1	1,001792908E1	1,031335945E1
9,618835440E-1	-2,336730957E0	9,478149414E-1	1,005624390E1	1,036757956E1
9,658203120E-1	-2,375045776E0	9,861297607E-1	1,017115784E1	1,049122234E1
9,697570800E-1	-2,375045776E0	9,861297607E-1	1,017115784E1	1,049122234E1
9,736938470E-1	-2,298431396E0	1,024429321E0	1,013285828E1	1,044064458E1
9,776306150E-1	-2,260116577E0	1,024429321E0	1,024777222E1	1,054392801E1
9,815673820E-1	-2,221817017E0	9,861297607E-1	1,017115784E1	1,045759889E1
9,855346680E-1	-2,183502197E0	1,024429321E0	1,020947266E1	1,049049423E1
9,894714350E-1	-2,183502197E0	9,861297607E-1	1,028608704E1	1,056142605E1
9,934082030E-1	-2,221817017E0	9,861297607E-1	1,024777222E1	1,053212980E1
9,973449700E-1	-2,221817017E0	9,861297607E-1	1,020947266E1	1,049486802E1
1,001281738E0	-2,221817017E0	9,478149414E-1	1,017115784E1	1,045405547E1
1,005249023E0	-2,145202637E0	9,861297607E-1	1,013285828E1	1,040428580E1
1,009185791E0	-2,068588257E0	9,861297607E-1	1,009454346E1	1,035139203E1
1,013122558E0	-1,991973877E0	9,861297607E-1	1,009454346E1	1,033635426E1
1,017059326E0	-1,953659058E0	9,478149414E-1	1,005624390E1	1,028801138E1
1,020996093E0	-1,991973877E0	9,095153809E-1	1,005624390E1	1,029190067E1
1,024963378E0	-1,991973877E0	8,712005615E-1	1,009454346E1	1,032602334E1
1,028900146E0	-1,991973877E0	7,945861816E-1	1,001792908E1	1,024491240E1
1,032836914E0	-1,953659058E0	7,179718018E-1	9,941314697E0	1,015686985E1
1,036773681E0	-1,991973877E0	6,030578613E-1	9,864700317E0	1,008186248E1
1,040710449E0	-1,838745117E0	5,647430420E-1	9,788085938E0	9,975296719E0
1,044647216E0	-1,838745117E0	5,264434814E-1	9,673171997E0	9,860445367E0
1,048614502E0	-1,800430298E0	4,881286621E-1	9,596557617E0	9,776182125E0
1,052551269E0	-1,685516357E0	4,881286621E-1	9,519943237E0	9,680317878E0
1,056488037E0	-1,647201538E0	5,264434814E-1	9,519943237E0	9,675729166E0
1,060424804E0	-1,647201538E0	5,264434814E-1	9,481628418E0	9,638033674E0
1,064361572E0	-1,647201538E0	4,881286621E-1	9,481628418E0	9,636016810E0
1,068298339E0	-1,647201538E0	4,881286621E-1	9,443328857E0	9,598333314E0
1,072265625E0	-1,723815918E0	4,881286621E-1	9,328399658E0	9,498886834E0
1,076202392E0	-1,685516357E0	4,498291016E-1	9,366714478E0	9,527783148E0
1,080139160E0	-1,685516357E0	4,498291016E-1	9,213485718E0	9,377186715E0
1,084075927E0	-1,685516357E0	4,115142822E-1	9,213485718E0	9,375426842E0
1,088012695E0	-1,608901978E0	4,498291016E-1	9,060256958E0	9,212989088E0
1,091949462E0	-1,647201538E0	4,881286621E-1	9,060256958E0	9,221702589E0
1,095916748E0	-1,647201538E0	5,647430420E-1	9,098556519E0	9,263689240E0
1,099853515E0	-1,723815918E0	6,796722412E-1	9,136871338E0	9,322870455E0
1,103790283E0	-1,838745117E0	7,945861816E-1	9,251785278E0	9,466143969E0
1,107727050E0	-1,838745117E0	9,095153809E-1	9,366714478E0	9,588719515E0
1,111663818E0	-1,991973877E0	9,861297607E-1	9,519943237E0	9,775977244E0
1,115600585E0	-2,106887817E0	1,062744141E0	9,596557617E0	9,882424778E0
1,119567871E0	-2,183502197E0	1,024429321E0	9,634857178E0	9,932150327E0
1,123504638E0	-2,298431396E0	1,101043701E0	9,673171997E0	1,000326650E1
1,127441406E0	-2,298431396E0	1,062744141E0	9,634857178E0	9,962062278E0
1,131378173E0	-2,260116577E0	1,062744141E0	9,558242798E0	9,879147607E0
1,135314941E0	-2,221817017E0	1,062744141E0	9,443328857E0	9,759219020E0
1,139282226E0	-2,183502197E0	1,139358521E0	9,328399658E0	9,648049537E0
1,143218994E0	-2,106887817E0	1,139358521E0	9,328399658E0	9,630999652E0
1,147155761E0	-2,068588257E0	1,215972900E0	9,328399658E0	9,632065596E0
1,151092529E0	-2,106887817E0	1,215972900E0	9,328399658E0	9,640363404E0
1,155029296E0	-2,106887817E0	1,254272461E0	9,328399658E0	9,645269092E0
1,158966064E0	-2,145202637E0	1,292587280E0	9,328399658E0	9,658763710E0
1,162933349E0	-2,145202637E0	1,215972900E0	9,251785278E0	9,574759281E0
1,166870117E0	-2,106887817E0	1,292587280E0	9,213485718E0	9,539291233E0
1,170806884E0	-2,068588257E0	1,139358521E0	9,213485718E0	9,511336094E0
1,174743652E0	-1,953659058E0	1,101043701E0	9,213485718E0	9,482478580E0
1,178680419E0	-1,953659058E0	1,139358521E0	9,175170898E0	9,449798017E0
1,182617187E0	-1,800430298E0	1,101043701E0	9,251785278E0	9,489435037E0
1,186584472E0	-1,762130737E0	1,139358521E0	9,251785278E0	9,486768333E0
1,190521240E0	-1,647201538E0	1,139358521E0	9,251785278E0	9,466094315E0
1,194458007E0	-1,685516357E0	1,101043701E0	9,290100098E0	9,505746812E0
1,198394775E0	-1,570587158E0	1,101043701E0	9,251785278E0	9,448522217E0
1,202331543E0	-1,570587158E0	1,024429321E0	9,328399658E0	9,515000769E0
1,206298828E0	-1,570587158E0	9,861297607E-1	9,366714478E0	9,548535806E0
1,210235595E0	-1,532287598E0	9,478149414E-1	9,366714478E0	9,538427467E0
1,214172363E0	-1,493972778E0	8,712005615E-1	9,405014038E0	9,562700149E0
1,218109130E0	-1,493972778E0	8,712005615E-1	9,481628418E0	9,638061140E0
1,222045898E0	-1,455673218E0	9,095153809E-1	9,481628418E0	9,635739733E0
1,225982666E0	-1,417358398E0	9,095153809E-1	9,519943237E0	9,667752702E0
1,229949951E0	-1,379058838E0	8,712005615E-1	9,519943237E0	9,658680704E0
1,233886718E0	-1,340744019E0	8,712005615E-1	9,481628418E0	9,615501152E0
1,237823486E0	-1,264129639E0	9,095153809E-1	9,481628418E0	9,608668973E0
1,241760253E0	-1,187515259E0	8,712005615E-1	9,481628418E0	9,595335344E0
1,245697021E0	-1,187515259E0	9,095153809E-1	9,443328857E0	9,561060120E0
1,249664306E0	-1,149215698E0	8,329010010E-1	9,481628418E0	9,587267507E0
1,253601074E0	-1,187515259E0	7,945861816E-1	9,481628418E0	9,588682764E0
1,257537841E0	-1,187515259E0	8,329010010E-1	9,519943237E0	9,629809749E0
1,261474609E0	-1,225830078E0	8,712005615E-1	9,481628418E0	9,600152460E0
1,265411377E0	-1,225830078E0	9,095153809E-1	9,481628418E0	9,603705278E0
1,269348144E0	-1,225830078E0	9,478149414E-1	9,481628418E0	9,607408079E0
1,273315429E0	-1,225830078E0	9,478149414E-1	9,443328857E0	9,569611928E0
1,277252197E0	-1,340744019E0	9,861297607E-1	9,443328857E0	9,588874091E0
1,281188964E0	-1,340744019E0	1,024429321E0	9,405014038E0	9,555173416E0
1,285125732E0	-1,417358398E0	1,062744141E0	9,443328857E0	9,608058589E0
