Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.1110503,0.1366655,-0.003893861,0.00480856,-0.01824261,0.9969624,3.358849,-3.452499,-43.77758,992.0335
0.007534504,0.01166417,0.07677825,-0.06517285,-0.001025788,-0.02075362,0.9978987,3.358849,-3.452499,-43.77758,992.0335
0.017580509,-0.04961688,-0.1627659,-0.06512945,0.001862637,-0.01826138,0.9945833,3.358849,-3.452499,-43.77758,992.0359
0.027625561,-0.1110329,0.0168457,0.1186272,0.005735648,-0.01529163,0.9941466,3.358849,-3.452499,-43.77758,992.0359
0.037671566,-0.04966554,0.01686212,-0.003875556,0.003354324,-0.02066104,0.9926081,3.358849,-3.452499,-43.77758,992.0359
0.047717094,-0.1723479,0.1966806,-0.1263783,0.0008837907,-0.01732166,0.9974825,3.72298,-2.734044,-43.32042,992.0359
0.057763099,-0.04973344,-0.1026787,0.1798475,0.003345031,-0.01826766,0.9979279,3.72298,-2.734044,-43.32042,992.0359
0.067809105,-0.04969021,0.01717418,-0.003918608,0.0003414243,-0.01533707,0.9913014,3.72298,-2.734044,-43.32042,992.0359
0.077855110,-0.04966631,0.2566755,-0.003913668,0.001309244,-0.01483171,0.9903491,3.72298,-2.734044,-43.32042,992.0359
0.087900162,0.07300589,-0.04266508,0.05737389,0.002283534,-0.01481269,0.9893862,3.72298,-2.734044,-43.32042,992.0359
0.097946167,-0.04963787,0.01724105,-0.06509037,0.001401007,-0.01926446,0.9979172,2.990971,-3.08834,-43.77836,992.0363
0.107991695,0.01171016,-0.1025045,-0.003802876,0.003772397,-0.01530531,0.9927202,2.990971,-3.08834,-43.77836,992.0363
0.118037700,0.1343824,-0.1025261,-0.1261711,0.004317224,-0.01824515,0.9964862,2.990971,-3.08834,-43.77836,992.0363
0.128083706,0.01166152,0.01715729,-0.1261664,-0.0006047082,-0.01778081,0.9912544,2.990971,-3.08834,-43.77836,992.0363
0.138129711,-0.04965806,0.1966933,-0.06485996,0.0009210603,-0.02166386,0.9926,2.990971,-3.08834,-43.77836,992.0363
0.148174763,0.01155509,-0.1027036,-0.003649697,0.0004015667,-0.01924169,0.9931335,2.990545,-2.726093,-43.77478,992.0363
0.158220768,-0.04976435,0.07694542,-0.0648893,0.002753,-0.01239587,0.992309,2.990545,-2.726093,-43.77478,992.0363
0.168266296,-0.1110646,0.1367765,-0.06498092,0.006285395,-0.020142,0.9930821,2.990545,-2.726093,-43.77478,992.0363
0.178312301,-0.04956237,0.07686503,0.05753136,0.007207926,-0.01623228,0.9922027,2.990545,-2.726093,-43.77478,992.0386
0.188358307,-0.1108629,0.1964547,-0.003708138,0.001845323,-0.01680585,0.9950935,3.357997,-2.728005,-43.77042,992.0386
0.198404312,0.07330675,-0.1029795,0.05750226,0.005304636,-0.01967469,0.9940554,3.357997,-2.728005,-43.77042,992.0386
0.208449364,0.1346352,0.1365412,-0.06503912,0.001858991,-0.01968208,0.9892846,3.357997,-2.728005,-43.77042,992.0386
0.218495369,0.01175997,-0.04311271,-0.1262401,0.004282597,-0.0153341,0.9975064,3.357997,-2.728005,-43.77042,992.0369
0.228541374,0.07308867,-0.1030615,-0.06491428,0.006236096,-0.01720657,0.9907503,3.357997,-2.728005,-43.77042,992.0369
0.238586902,-0.04967078,-0.162935,-0.1260962,0.003751438,-0.01527048,0.9879315,3.723406,-3.096291,-43.324,992.0369
0.248632908,-0.04968545,0.01671445,-0.1873551,0.005768362,-0.01867509,0.9912005,3.723406,-3.096291,-43.324,992.0369
0.258678913,0.01177822,0.01669344,-0.06474677,0.008233976,-0.02010394,0.9911565,3.723406,-3.096291,-43.324,992.0352
0.268723965,0.1344503,0.01665365,-0.003498187,0.002298205,-0.01483706,0.9927382,3.723406,-3.096291,-43.324,992.0352
0.278769970,0.01174869,0.1963408,0.1188599,0.004349391,-0.02020095,0.9978811,3.723406,-3.096291,-43.324,992.0352
0.288815975,-0.04953245,-0.1030933,-0.003700796,0.007692975,-0.01621928,0.9912424,2.991396,-3.450586,-43.78194,992.0352
0.298861503,0.1957687,-0.0432241,-0.06490185,0.003775039,-0.01673646,0.988858,2.991396,-3.450586,-43.78194,992.0392
0.308907509,0.1343913,0.01672035,-0.06485877,0.001920319,-0.02121074,0.9988307,2.991396,-3.450586,-43.78194,992.0392
0.318953514,0.07299463,-0.0431532,0.1188591,0.005244311,-0.01529418,0.9936703,2.991396,-3.450586,-43.78194,992.0392
0.328999519,-0.04968764,-0.04319301,-0.003740126,-0.002596299,-0.01489389,0.9922849,2.991396,-3.450586,-43.78194,992.0392
0.339044571,-0.111065,0.1363624,0.1187145,0.003774128,-0.01435701,0.9960932,2.990119,-2.363846,-43.7712,992.0392
0.349090576,0.01162659,0.1961565,0.05735965,0.004375271,-0.02214629,0.9978395,2.990119,-2.363846,-43.7712,992.0392
0.359136104,-0.1110749,0.01648412,-0.1876699,0.004332078,-0.01874542,0.9983912,2.990119,-2.363846,-43.7712,992.0392
0.369182110,-0.1109932,0.1362625,-0.1876073,0.005263356,-0.01580141,0.9965332,2.990119,-2.363846,-43.7712,992.0392
0.379228115,0.01173685,-0.1033376,-0.003696787,0.001792197,-0.01481523,0.9889098,2.990119,-2.363846,-43.7712,992.0395
0.389274120,-0.0496021,0.01634685,0.05757128,-0.0001329635,-0.01584337,0.9932089,3.360966,-3.448964,-44.15956,992.0395
0.399319172,0.07312784,0.07614122,0.05751821,-7.929048E-05,-0.01926165,0.9950516,3.360966,-3.448964,-44.15956,992.0395
0.409365177,-0.04953532,-0.04354666,-0.06496546,0.004789697,-0.01821126,0.9926526,3.360966,-3.448964,-44.15956,992.0395
0.419410705,-0.04947313,-0.1034573,-0.003639693,0.005729178,-0.0148053,0.9941571,3.360966,-3.448964,-44.15956,992.0378
0.429456711,0.01195173,0.01628368,0.05764752,-0.0001656772,-0.01245991,0.9961552,3.360966,-3.448964,-44.15956,992.0378
0.439502716,0.07339577,-0.1034982,-0.06489404,0.004766097,-0.01674529,0.9917262,3.360541,-3.086718,-44.15598,992.0378
0.449548721,-0.04932552,-0.1634088,-0.003645291,0.004258996,-0.01386813,0.9965799,3.360541,-3.086718,-44.15598,992.0378
0.459593773,0.07342336,0.07613136,0.1188669,0.004246056,-0.01289546,0.9966008,3.360541,-3.086718,-44.15598,992.0344
0.469639778,0.0121418,-0.04365051,-0.003655361,0.005289236,-0.01774676,0.9964915,3.360541,-3.086718,-44.15598,992.0344
0.479685783,-0.04906277,0.1958332,-0.0649142,0.006227349,-0.01624086,0.991729,3.360541,-3.086718,-44.15598,992.0344
0.489731312,0.07368578,-0.04380405,-0.003588486,0.003326531,-0.01918809,0.9907238,3.358424,-3.090253,-43.774,992.0344
0.499777317,-0.1103601,0.0160659,0.05764098,0.0008451536,-0.01487953,0.996098,3.358424,-3.090253,-43.774,992.0367
0.509823322,-0.1103563,0.01598931,0.1188897,0.003802286,-0.01678173,0.9950833,3.358424,-3.090253,-43.774,992.0367
0.519868374,0.07373557,-0.04388329,0.05759235,0.006707842,-0.01526912,0.9927049,3.358424,-3.090253,-43.774,992.0367
0.529914379,0.07379708,-0.1036243,-0.06483372,0.005218614,-0.01382472,0.992265,3.358424,-3.090253,-43.774,992.0367
0.539960384,-0.1715731,0.01602287,-0.1260734,0.006232087,-0.01767549,0.9883455,4.092902,-2.731831,-43.76171,992.035
0.550005913,0.1352249,0.07579888,-0.003522842,0.002875745,-0.02116037,0.993558,4.092902,-2.731831,-43.76171,992.035
0.557540417,0.0738696,-0.04399641,0.1190073,0.003287348,-0.0153183,0.9936805,4.092902,-2.731831,-43.76171,992.035
0.567585945,0.1965601,0.01576098,0.1188771,0.002838476,-0.01681817,0.9984405,4.092902,-2.731831,-43.76171,992.035
0.577631950,-0.1715935,-0.04407375,-0.00364517,0.004770652,-0.01770403,0.9897898,4.092902,-2.731831,-43.76171,992.0373
0.587677479,-0.1101693,0.1355392,0.05746897,0.002833099,-0.01918716,0.9897687,3.360966,-3.448964,-44.15956,992.0373
0.597723484,-0.1099732,-0.04415102,0.1186025,0.003774493,-0.01530879,0.993199,3.360966,-3.448964,-44.15956,992.0373
0.607769489,-0.1099891,-0.04422718,-0.003900184,0.004810656,-0.01824609,0.9974414,3.360966,-3.448964,-44.15956,992.0373
0.617815494,-0.04862312,0.01564328,0.179818,0.001308697,-0.01340405,0.9946901,3.360966,-3.448964,-44.15956,992.0356
0.627860546,0.07397076,-0.04415368,-0.003890333,-0.0005742731,-0.0206849,0.9892765,3.360966,-3.448964,-44.15956,992.0356
0.637906551,-0.04880904,0.01571671,0.05737798,-0.001555579,-0.01878993,0.9945907,3.728419,-3.450877,-44.1552,992.0356
0.647952080,0.01249938,-0.04424955,0.1185886,0.003270763,-0.01576633,0.9884024,3.728419,-3.450877,-44.1552,992.0356
0.657998085,-0.04880196,0.07536069,-0.06519679,0.0004160563,-0.01879018,0.9979328,3.728419,-3.450877,-44.1552,992.0339
0.668044090,-0.1100841,0.07530366,-0.1264937,0.006244663,-0.01769639,0.9912188,3.728419,-3.450877,-44.1552,992.0339
0.678090095,0.012664,-0.1044237,0.2410726,0.003244519,-0.01286921,0.9913383,3.728419,-3.450877,-44.1552,992.0339
0.688135624,0.2580219,-0.1044618,0.05717186,0.003371638,-0.02211656,0.992098,3.725876,-3.092166,-43.76965,992.0339
0.698181152,-0.04874976,-0.2241484,0.302173,0.001396451,-0.01830572,0.9998536,3.725876,-3.092166,-43.76965,992.0345
0.708226681,0.01261641,0.01539279,-0.004081322,0.003339471,-0.02016077,0.990703,3.725876,-3.092166,-43.76965,992.0345
0.718272686,0.01260056,-0.04449789,-0.06535885,0.002845492,-0.01873217,0.994089,3.725876,-3.092166,-43.76965,992.0345
0.728318691,0.01260398,0.1948741,-0.126521,0.004272299,-0.01579258,0.993665,3.725876,-3.092166,-43.76965,992.0345
0.738364696,0.01258814,0.1946857,-0.06534865,0.006355835,-0.02358814,0.9987558,3.360467,-2.723881,-44.21606,992.0328
0.748410225,-0.04877111,0.01488362,0.179614,0.003328263,-0.0182398,0.9940969,3.360467,-2.723881,-44.21606,992.0328
0.758455753,-0.1101304,-0.04489362,-0.004151824,0.001789554,-0.01338409,0.992772,3.360467,-2.723881,-44.21606,992.0328
0.768501759,-0.04870641,-0.1645799,0.05717451,0.004791793,-0.01821475,0.9931314,3.360467,-2.723881,-44.21606,992.0328
